35 Taw Win Road|Dagon Township,Yangon (Rangoon) 
92 Strand Rd.|,Yangon (Rangoon) 11181
129 Dhammazedi Road|,Yangon (Rangoon) 
459 Pyay Road|Kamayut Tsp,Yangon (Rangoon) 
192 Kaba Aye Pagoda Road, Bahan Township|Bahan Township,Yangon (Rangoon) 11201
223 Sule Pagoda Rd., Pabedan Township|,Yangon (Rangoon) 11182
42 Than Lwin Road|Bahan Township,Yangon (Rangoon) 11041
40 Natmauk Road|Tamwe Township,Yangon (Rangoon) 11211
171 Upper Pansodan|Near Yangon Zoological Garden,Yangon (Rangoon) 
33 Yaw Min Gyi Street|Dagon Township,Yangon (Rangoon) 
33 Alan Pya Phaya Road|Dagon Township,Yangon (Rangoon) 11191
No. 127-137 Anawrahta Road|Corner Lanmadaw Street,Yangon (Rangoon) 127-137
12 Pho Sein Road|Tamwe Township,Yangon (Rangoon) 
23 Kan Yeik Thar Road|Mingalar Taung Nyunt Township,Yangon (Rangoon) 
No. 1 Kaba Aye Pagoda Road|Yankin Township,Yangon (Rangoon) 
Kan Yeik Tha Road|Mingalar Taung Nyunt Township,Yangon (Rangoon) 
No. 63 64, Bahosi Housing Estate, Lanmadaw Township|,Yangon (Rangoon) 
341 Pyay Road|Sanchaung Township,Yangon (Rangoon) 11111
45 Pyay Road, Dagon Township, Yangon|,Yangon (Rangoon) 
67/71, New Yaytarshay Road|,Yangon (Rangoon) 11201
No. 35 Min Ye Kyaw Swar Road|(Corner of Hnin Si Gone Road, Front of Central Women Hospital), Ahlone Township,Yangon (Rangoon) 11131
No 350 Ahlone Rd|Dagon Township,Yangon (Rangoon) 11111
No. 66-70, 21st Street (Enter From Strand Road), Latha Township|,Yangon (Rangoon) 11131
29 Kanbawza Avenue Street|Bahan Township,Yangon (Rangoon) 
69 Damaryone Street, Myay Ni Gone|Sanchaung Township,Yangon (Rangoon) 11111
No. 69, 14th Street|Lanmadaw Township,Yangon (Rangoon) 11131
37 Kaba Aye Pagoda Road|,Yangon (Rangoon) 112233
No. 621 Maharbandoola Road|(Corner of Bo Ywe Street), Latha Township,Yangon (Rangoon) 
299 32nd Street (Upper Block)|Pabedan Township,Yangon (Rangoon) 11143
Merchant Road Between 62nd & 63rd Street, Botahtaung Township|,Yangon (Rangoon) 
